分類	問題	答案	標籤	來源
您好/你好	您好 / 請問這個資料庫包含哪些內容？	您好！歡迎使用本問答系統。您可以點選上方分類瀏覽，或直接在下方輸入關鍵字提問！	"您好, 使用說明"	院內導覽
住院前	辦理住院手續的時間與地點在哪裡？需要攜帶什麼證件？	辦理住院請前往「醫療大樓一樓 住院服務中心」辦理。辦理時間為週一至週五 08:00~17:00、週六 08:00~12:00（其餘時段請至急診櫃檯）。\n請備齊以下證件：\n1. 病人與陪病者之健保卡及身分證\n2. 住院同意書\n3. 重大傷病卡或優待證明。	"住院手續, 健保卡, 身分證"	住出院服務中心
住院前	住院需要準備哪些個人日常用品？	建議攜帶以下物品：\n1. 【盥洗用品】：牙刷、牙膏、毛巾、沐浴乳、防滑拖鞋、臉盆。\n2. 【餐具水具】：環保餐具、保溫水杯。\n3. 【衣物】：換洗衣物、保暖外套。\n4. 【醫療相關】：常備用藥或處方箋。\n?? 提醒：請勿攜帶高額現金與貴重首飾。	"準備物品, 行李, 個人用品"	病人衛教指引
住院前	同意書簽署	下載雙和醫院APP→個人查詢→同意書專區→住院同意書。 1.下載衛生福利部雙和醫院APP  2.於右上角點選登入  3.個人查詢→同意書專區→住院同意書  4.審閱內容→填寫資料→點擊簽署框→完成錄影簽名確認(兩次) A.如遇特殊情況，可在預約時告知櫃台人員，並完成錄影簽名。 Android怎麼無法簽署?   A.需將螢幕直向鎖定更改為旋轉；簽署時需分享整個螢幕畫面後，再錄影簽名	住院前	住出院服務中心
住院中	病房探病時間與陪病家屬規定？	【陪病規定】：每床以 1 名陪病者為原則，需佩戴「陪病證」。\n【探訪時段】：一般病房每日開放探視時段為 11:00~12:00 及 18:00~19:00（每床每次限2人）。\n【加護病房】：每日開放 11:00~11:30。	"探病時間, 陪病規定, 訪客"	護理部規範
住院中	病房內是否有提供免費 Wi-Fi 無線網路？如何連線？	本院全棟病房提供免費 Wi-Fi 服務：\n1. 連線至「Hospital_Free_WiFi」\n2. 於登入頁面勾選同意服務條款\n3. 點選「開始上網」即可免費連線使用。	"WiFi, 無線網路, 上網"	資訊室指引
住院中	預立醫療照顧計畫-ACP	"預立醫療照顧計畫(Advance Care Planning，以下簡稱ACP)，基於對生命尊嚴的重視及提升醫療照護品質，現先進國家都在推動「預立醫療照顧計畫(Advance Care Planning, ACP)」，指病人與醫療服務提供者、親屬或其他相關人士所進行的溝通過程，商討當病人處於特定臨床條件、意識昏迷或無法清楚表達意願時，對病人應提供適當照顧與醫療方式，詳細資訊詳本院網站 https://shh.tmu.edu.tw/page/AdvanceCare.aspx"	住院中	病人衛教指引
出院	出院流程如何辦理？出院當天手續幾點前需完成？	【出院流程三步驟】：\n1. 醫師查房確認可出院，護理站進行結帳通知。\n2. 持健保卡至一樓出院批價櫃檯辦理繳費。\n3. 憑收據至藥局領藥，回護理站領回健保卡與衛教手冊。\n\n? 建議於當天中午 11:30 前完成離房手續。	"出院流程, 退房時間, 繳費, 領藥"	出院準備服務組
文件申請	如何申請中文/英文診斷證明書？費用是多少？	【申請方式】：\n1. 住院期間向醫師或護理站提出，出院時一併領取。\n2. 出院後請攜帶身分證至一樓批價櫃檯掛號開立。\n\n【費用】：\n? 中文一般診斷書：首份 $100 元，每加印一份 $50 元\n? 英文診斷書：首份 $200 元，每加印一份 $100 元。	"診斷證明書, 英文診斷書, 保險理賠"	病歷管理收費表
服務設施	停車場收費標準為何？住院或陪病有停車優惠嗎？	【停車場位置】：醫療大樓地下 B2~B3（24小時開放）\n【收費標準】：汽車每小時 $40 元（當日最高 $300 元）；機車每次 $20 元。\n【優惠】：住院當天享 2 小時免費停車；憑陪病證可辦理每日 $150 元優惠停車證。	"停車場, 停車費, 優惠停車"	總務室管理規定
服務設施	提款機(ATM)位置	本院第一及第二醫療大樓一樓皆設有提款機，相對位置請參考連結圖片 https://reurl.cc/QVG0v0 。	"提款機,領錢"	總務室管理規定
服務電話	常用服務電話與各部門分機一覽？	【本院總機】：(02) 2345-6789\n? 住院服務中心：分機 1001\n? 門診預約掛號：分機 1111\n? 藥物諮詢專線：分機 1234\n? 24小時急診電話：(02) 2345-6700	"電話, 總機, 分機, 急診電話"	總務處通訊錄
